date,total_cases,g_values
19/08/2021,209255206,0.325923367
20/08/2021,209926033,0.320578404
21/08/2021,210577768,0.310459351
22/08/2021,211524758,0.449710342
23/08/2021,212056938,0.251592298
24/08/2021,212578261,0.245841049
25/08/2021,213166485,0.276709386
26/08/2021,213826973,0.309846081
27/08/2021,214487393,0.308857199
28/08/2021,215152038,0.309876021
29/08/2021,216093608,0.437630063
30/08/2021,216632945,0.249584893
31/08/2021,217121594,0.225565414
01/09/2021,217673597,0.254236803
02/09/2021,218308692,0.29176483
03/09/2021,218956183,0.296594237
04/09/2021,219578285,0.284121687
05/09/2021,220453496,0.398587228
06/09/2021,220956991,0.228390572
07/09/2021,221433537,0.215673647
08/09/2021,221946160,0.23150197
09/09/2021,222463589,0.233132666
10/09/2021,223016418,0.248503138
11/09/2021,223600152,0.261744855
12/09/2021,224384299,0.350691622
13/09/2021,224848978,0.207090693
14/09/2021,225289313,0.195835891
15/09/2021,225765572,0.211398843
16/09/2021,226292921,0.233582559
17/09/2021,226809417,0.228242226
18/09/2021,227344685,0.235999019
19/09/2021,228070072,0.319069258
20/09/2021,228628808,0.244984357
21/09/2021,229030401,0.175652842
22/09/2021,229461804,0.188360584
23/09/2021,229932376,0.205076397
24/09/2021,230428111,0.215600347
25/09/2021,230905242,0.207062844
26/09/2021,231577947,0.291333793
27/09/2021,231957610,0.163946095
28/09/2021,232302439,0.148660352
29/09/2021,232719833,0.179676977
30/09/2021,233160988,0.189564849
01/10/2021,233601589,0.188968577
02/10/2021,234041092,0.188142128
03/10/2021,234688767,0.276735591
04/10/2021,235025274,0.143384366
05/10/2021,235348709,0.137617114
06/10/2021,235738868,0.165779112
07/10/2021,236156111,0.176993723
08/10/2021,236580401,0.179665052
09/10/2021,236984089,0.170634591
10/10/2021,237646058,0.279330567
11/10/2021,237968389,0.135634903
12/10/2021,238280386,0.13110859
13/10/2021,238655896,0.157591653
14/10/2021,239048359,0.164447226
15/10/2021,239440090,0.163871027
16/10/2021,239840120,0.167068932
17/10/2021,240529667,0.287502775
18/10/2021,240844029,0.130695728
19/10/2021,241152845,0.128222402
20/10/2021,241536172,0.158956035
21/10/2021,241937619,0.166205747
22/10/2021,242339153,0.165965922
23/10/2021,242733200,0.16260146
24/10/2021,243536189,0.33081136
25/10/2021,243832413,0.121634489
26/10/2021,244112450,0.114848144
27/10/2021,244506157,0.161281
28/10/2021,244927706,0.172408337
29/10/2021,245336181,0.166773701
30/10/2021,245766553,0.175421333
31/10/2021,246664038,0.365177844
01/11/2021,246958903,0.119541139
02/11/2021,247245233,0.115942368
03/11/2021,247657323,0.166672576
04/11/2021,248051032,0.158973292
05/11/2021,248456848,0.163601819
06/11/2021,248858848,0.16179872
07/11/2021,249844339,0.396004003
08/11/2021,250150262,0.12244544
09/11/2021,250455053,0.121843166
10/11/2021,250905527,0.179862213
11/11/2021,251332098,0.170012596
12/11/2021,251757426,0.169229479
13/11/2021,252144780,0.15386001
14/11/2021,253322331,0.467013832
15/11/2021,253673828,0.138754842
16/11/2021,253987904,0.123810959
17/11/2021,254473730,0.191279188
18/11/2021,254923353,0.176687393
19/11/2021,255379443,0.1789126
20/11/2021,255847356,0.183222657
21/11/2021,257185718,0.523109569
22/11/2021,257527846,0.133027605
23/11/2021,257887441,0.139633444
24/11/2021,258425071,0.208474673
25/11/2021,258898411,0.183163343
26/11/2021,259387221,0.188803785
27/11/2021,259809849,0.162933239
28/11/2021,261233074,0.547794861
29/11/2021,261583618,0.134188215
30/11/2021,261937889,0.135433175
01/12/2021,262403914,0.177914315
02/12/2021,262906437,0.191507433
03/12/2021,263420595,0.195566912
04/12/2021,263925253,0.191578794
05/12/2021,265506460,0.599111673
06/12/2021,265867311,0.135910441
07/12/2021,266223180,0.133852108
08/12/2021,266779598,0.20900434
09/12/2021,267286954,0.190177961
10/12/2021,267788815,0.187761128
11/12/2021,268283448,0.184710104
12/12/2021,269820470,0.572909738
13/12/2021,270196765,0.13946125
14/12/2021,270569776,0.138051616
15/12/2021,271153586,0.215770589
16/12/2021,271716210,0.207492738
17/12/2021,272292086,0.211940245
18/12/2021,272864176,0.210101589
19/12/2021,274523302,0.608040976
20/12/2021,274945648,0.153847049
21/12/2021,275401573,0.165823683
22/12/2021,276123388,0.262095453
23/12/2021,276827861,0.255129783
24/12/2021,277585495,0.273684158
25/12/2021,278361849,0.27968104
26/12/2021,280613778,0.808993405
27/12/2021,281089315,0.169463169
28/12/2021,281773861,0.24353327
29/12/2021,282938990,0.413497901
30/12/2021,284096289,0.409027755
31/12/2021,285446118,0.47513081
01/01/2022,286877411,0.501423179
02/01/2022,291082478,1.465806243
03/01/2022,291992764,0.312724423
04/01/2022,293176548,0.405415526
05/01/2022,295185016,0.685071167
06/01/2022,297231009,0.693122242
07/01/2022,299249460,0.679084934
08/01/2022,301239892,0.665141384
09/01/2022,307679966,2.137855633
10/01/2022,309320186,0.533092883
11/01/2022,310969276,0.533133651
12/01/2022,313757569,0.896645815
13/01/2022,316152415,0.763279116
14/01/2022,318649374,0.78979596
15/01/2022,321144472,0.783023035
16/01/2022,328341720,2.241124674
17/01/2022,330264746,0.585678238
18/01/2022,332082460,0.550380875
19/01/2022,334943502,0.861545653
20/01/2022,337805313,0.854416038
21/01/2022,340722648,0.863614303
22/01/2022,343536745,0.825920148
23/01/2022,351883323,2.429602691
24/01/2022,353970363,0.593105687
25/01/2022,356030528,0.582016241
26/01/2022,359043227,0.846191201
27/01/2022,361657375,0.728087262
28/01/2022,364315335,0.734938697
29/01/2022,366905887,0.711074103
30/01/2022,375307848,2.289949902
31/01/2022,377235219,0.513544017
01/02/2022,378982051,0.463061748
02/02/2022,381436172,0.647555997
03/02/2022,383729000,0.601103977
04/02/2022,385912458,0.569010421
05/02/2022,388157780,0.58182159
06/02/2022,395236060,1.82355742
07/02/2022,396832619,0.403950743
08/02/2022,398320948,0.375052082
09/02/2022,400275431,0.490680445
10/02/2022,402194237,0.479371416
11/02/2022,404007952,0.450954995
12/02/2022,405680914,0.414091354
13/02/2022,411147969,1.347624404
14/02/2022,412429680,0.311739592
15/02/2022,413683464,0.30399946
16/02/2022,415236219,0.375348578
17/02/2022,416783645,0.372661615
18/02/2022,418300174,0.363864806
19/02/2022,419732298,0.342367536
20/02/2022,424019655,1.021450344
21/02/2022,425115362,0.258409483
22/02/2022,426289378,0.276164097
23/02/2022,427622359,0.312693928
24/02/2022,428999089,0.321949957
25/02/2022,430342166,0.313072227
26/02/2022,431595629,0.291271249
27/02/2022,435069521,0.804895084
28/02/2022,436166730,0.252191649
01/03/2022,437239509,0.245956174
02/03/2022,438485715,0.285016787
03/03/2022,439807213,0.301377663
04/03/2022,441053770,0.283432596
05/03/2022,442288466,0.279942285
06/03/2022,445969774,0.832331902
07/03/2022,446933511,0.216099174
08/03/2022,448123990,0.266366019
09/03/2022,449480659,0.302744113
10/03/2022,450762832,0.285256545
11/03/2022,452090127,0.294455289
12/03/2022,453629538,0.340509759
13/03/2022,457775252,0.913898601
14/03/2022,458931911,0.252669622
15/03/2022,460081650,0.250524963
16/03/2022,461698222,0.351366328
17/03/2022,463179478,0.320827746
18/03/2022,464467497,0.278082053
19/03/2022,465899957,0.308409094
20/03/2022,470153626,0.913000514
21/03/2022,471135959,0.208938727
22/03/2022,472356941,0.259157039
23/03/2022,473538812,0.250207184
24/03/2022,474652687,0.235223591
25/03/2022,475787389,0.239059428
26/03/2022,476849554,0.223243622
27/03/2022,481151919,0.902247882
28/03/2022,482166964,0.210961436
29/03/2022,483159169,0.205780378
30/03/2022,484129441,0.200818294
31/03/2022,485048337,0.189803784
01/04/2022,485937477,0.183309566
02/04/2022,486721113,0.161262721
03/04/2022,490521099,0.780731696
04/04/2022,491159151,0.130076362
05/04/2022,491836986,0.138007202
06/04/2022,492563777,0.147770709
07/04/2022,493314098,0.152329715
08/04/2022,493999226,0.138882712
09/04/2022,494594951,0.120592294
10/04/2022,497721421,0.632127359
11/04/2022,498280284,0.112284297
12/04/2022,498780440,0.100376438
13/04/2022,499352333,0.114658265
14/04/2022,499815417,0.092736925
15/04/2022,500418850,0.12073117
16/04/2022,500887265,0.093604587
17/04/2022,503419584,0.505566657
18/04/2022,503824967,0.08052587
19/04/2022,504156403,0.065783957
20/04/2022,504546567,0.077389476
21/04/2022,505048933,0.099567817
22/04/2022,505526514,0.094561332
23/04/2022,505930273,0.079869006
24/04/2022,508123261,0.433456568
25/04/2022,508441096,0.062550768
26/04/2022,508773360,0.065349556
27/04/2022,509126098,0.069331067
28/04/2022,509554374,0.084119828
29/04/2022,509941618,0.0759966
30/04/2022,510277546,0.065875776
01/05/2022,512122598,0.361578128
02/05/2022,512386142,0.051461115
03/05/2022,512631553,0.047895714
04/05/2022,512958253,0.063729983
05/05/2022,513304494,0.067498865
06/05/2022,513671210,0.071442195
07/05/2022,514046973,0.073152435
08/05/2022,515741732,0.32968952
09/05/2022,516024077,0.054745424
10/05/2022,516306645,0.054758685
11/05/2022,516721439,0.080338691
12/05/2022,517144854,0.081942604
13/05/2022,517579018,0.08395404
14/05/2022,517965149,0.074603295
15/05/2022,519705846,0.336064502
16/05/2022,519983919,0.053505844
17/05/2022,520254097,0.051958915
18/05/2022,520685394,0.082901221
19/05/2022,521137796,0.086885863
20/05/2022,521573321,0.083571946
21/05/2022,521954054,0.072997024
22/05/2022,523487965,0.293878549
23/05/2022,523740668,0.048272934
24/05/2022,524017603,0.05287636
25/05/2022,524398580,0.072703092
26/05/2022,524815976,0.079595181
27/05/2022,525220260,0.077033478
28/05/2022,525594498,0.071253535
29/05/2022,526874979,0.243625267
30/05/2022,527116582,0.04585585
31/05/2022,527348608,0.044017966
01/06/2022,527657674,0.058607531
02/06/2022,528087877,0.081530701
03/06/2022,528480103,0.074272866
04/06/2022,528812596,0.062914951
05/06/2022,530134082,0.249896846
06/06/2022,530350504,0.040824012
07/06/2022,530594289,0.045966771
08/06/2022,530976810,0.072092936
09/06/2022,531424882,0.08438636
10/06/2022,531841674,0.078429147
11/06/2022,532246606,0.076137697
12/06/2022,533657317,0.265048379
13/06/2022,533887106,0.04305928
14/06/2022,534129303,0.045364834
15/06/2022,534519842,0.07311694
16/06/2022,534942016,0.078981914
17/06/2022,535399491,0.085518614
18/06/2022,535809274,0.076537802
19/06/2022,537427990,0.302106753
20/06/2022,537684350,0.047701274
21/06/2022,537941669,0.047856889
22/06/2022,538352201,0.076315337
23/06/2022,538879511,0.097948889
24/06/2022,539390909,0.094900249
25/06/2022,539896747,0.093779482
26/06/2022,542020247,0.393315946
27/06/2022,542346315,0.0601579
28/06/2022,542657697,0.057413868
29/06/2022,543143357,0.089496565
30/06/2022,543764988,0.114450631
01/07/2022,544355401,0.108578708
02/07/2022,544964687,0.111927979
03/07/2022,547302285,0.428944857
04/07/2022,547937872,0.116130887
05/07/2022,548273652,0.06128067
06/07/2022,548843671,0.103966149
07/07/2022,549523661,0.123895024
08/07/2022,550207565,0.124453968
09/07/2022,550901572,0.126135489
10/07/2022,553644216,0.497846465
11/07/2022,554386741,0.134115914
12/07/2022,554808631,0.076100305
13/07/2022,555533941,0.130731564
14/07/2022,556312235,0.140098371
15/07/2022,557085166,0.138938343
16/07/2022,557880133,0.142701161
17/07/2022,560622795,0.491622095
18/07/2022,561458661,0.149095971
19/07/2022,561921870,0.082500998
20/07/2022,562654511,0.130381293
21/07/2022,563465622,0.144157913
22/07/2022,564297485,0.147633319
23/07/2022,565161848,0.153175058
24/07/2022,567793967,0.465728359
25/07/2022,568708147,0.161005585
26/07/2022,569264077,0.097753127
27/07/2022,570061094,0.140008308
28/07/2022,570892439,0.145834369
29/07/2022,571742086,0.14882786
30/07/2022,572598606,0.149808807
31/07/2022,574998672,0.419153308
01/08/2022,575793636,0.138254928
02/08/2022,576332922,0.093659597
03/08/2022,577115927,0.135859842
04/08/2022,577938652,0.142558013
05/08/2022,579164094,0.212036692
06/08/2022,579987997,0.142257265
07/08/2022,581943314,0.337130598
08/08/2022,582651251,0.121650508
09/08/2022,583187192,0.091983154
10/08/2022,583926230,0.126723976
11/08/2022,584704086,0.133211348
12/08/2022,585500242,0.136163919
13/08/2022,586251661,0.128337949
14/08/2022,587696079,0.246381903
15/08/2022,588309070,0.104304082
16/08/2022,588733479,0.072140482
17/08/2022,589420971,0.116774742
18/08/2022,590196296,0.131540111
19/08/2022,590972371,0.131494387
20/08/2022,591751853,0.131898214
21/08/2022,593082414,0.224851176
22/08/2022,593678112,0.100441016
23/08/2022,594205766,0.088878803
24/08/2022,594857455,0.109673961
25/08/2022,595566417,0.11918183
26/08/2022,596266564,0.117559852
27/08/2022,596907709,0.107526573
28/08/2022,597848203,0.157561041
29/08/2022,598499460,0.108933505
30/08/2022,598916030,0.069602402
31/08/2022,599468411,0.092230124
01/09/2022,600062350,0.099077614
02/09/2022,600649192,0.097796837
03/09/2022,601191905,0.090354404
04/09/2022,602138145,0.157394002
05/09/2022,602533908,0.065726279
06/09/2022,602890405,0.059166297
07/09/2022,603296518,0.067360999
08/09/2022,603828038,0.088102614
09/09/2022,604301210,0.078362045
10/09/2022,604652262,0.058092222
11/09/2022,605407595,0.124920231
12/09/2022,605943798,0.088568925
13/09/2022,606232929,0.047715811
14/09/2022,606683718,0.074359042
15/09/2022,607129859,0.073537658
16/09/2022,607574892,0.073301122
17/09/2022,607942717,0.060539862
18/09/2022,608803404,0.1415737
19/09/2022,609252539,0.073773405
20/09/2022,609514863,0.043056694
21/09/2022,609874541,0.059010538
22/09/2022,610210439,0.055076574
23/09/2022,610607727,0.06510672
24/09/2022,611016848,0.067002264
25/09/2022,612021814,0.164474352
26/09/2022,612290129,0.043840758
27/09/2022,612549218,0.042314744
28/09/2022,612850703,0.049218086
29/09/2022,613210422,0.058696025
30/09/2022,613572924,0.059115434
01/10/2022,613996538,0.06904053
02/10/2022,615252669,0.20458275
03/10/2022,615470884,0.035467542
04/10/2022,615657756,0.030362444
05/10/2022,615998785,0.055392626
06/10/2022,616328892,0.053588904
07/10/2022,616655027,0.052915741
08/10/2022,617031774,0.061095261
09/10/2022,618471401,0.233314889
10/10/2022,618687644,0.034964107
11/10/2022,618873192,0.029990578
12/10/2022,619196389,0.052223461
13/10/2022,619518984,0.05209898
14/10/2022,619840456,0.051890581
15/10/2022,620170295,0.053213532
16/10/2022,621647112,0.238130883
17/10/2022,621863089,0.034742701
18/10/2022,622061837,0.03196009
19/10/2022,622373472,0.05009711
20/10/2022,622656682,0.045504832
21/10/2022,622882850,0.036323066
22/10/2022,623306404,0.067998982
23/10/2022,624544845,0.198688958
24/10/2022,624720113,0.028063317
25/10/2022,624910189,0.030425785
26/10/2022,625167266,0.041138231
27/10/2022,625398283,0.03695283
28/10/2022,625872966,0.075900912
29/10/2022,626155896,0.045205659
30/10/2022,627079320,0.147475095
31/10/2022,627254767,0.027978438
01/11/2022,627462166,0.033064555
02/11/2022,627722469,0.041485051
03/11/2022,627947606,0.035865691
04/11/2022,628430409,0.076885873
05/11/2022,628687034,0.040835866
06/11/2022,629413951,0.115624621
07/11/2022,629607687,0.030780379
08/11/2022,629856088,0.039453298
09/11/2022,630046587,0.030244845
10/11/2022,630317551,0.043006978
11/11/2022,630859696,0.086011408
12/11/2022,631203713,0.05453146
13/11/2022,631903129,0.110806699
14/11/2022,632130033,0.035908036
15/11/2022,632409930,0.04427839
16/11/2022,632719597,0.048966182
17/11/2022,632993926,0.043357121
18/11/2022,633457852,0.073290751
19/11/2022,633842312,0.060692278
20/11/2022,634585157,0.11719713
21/11/2022,634835760,0.039490839
22/11/2022,635114051,0.043836693
23/11/2022,635468461,0.055802576
24/11/2022,635725734,0.040485565
25/11/2022,636231069,0.079489467
26/11/2022,636684844,0.071322358
27/11/2022,637562635,0.137868996
28/11/2022,637826508,0.041387777
29/11/2022,638132256,0.047935919
30/11/2022,638490517,0.056142124
01/12/2022,638837203,0.054297752
02/12/2022,639476811,0.100120656
03/12/2022,639812117,0.052434427
04/12/2022,640799648,0.15434703
05/12/2022,641101627,0.047125338
06/12/2022,641408835,0.047918768
07/12/2022,641796446,0.060431191
08/12/2022,642219320,0.065889115
09/12/2022,643052219,0.129690742
10/12/2022,643850412,0.124125689
11/12/2022,645414815,0.242976159
12/12/2022,646485781,0.165934524
13/12/2022,647714146,0.190006499
14/12/2022,649192817,0.228290676
15/12/2022,650756836,0.240917484
16/12/2022,653423908,0.409841565
17/12/2022,656120875,0.412743851
18/12/2022,660392326,0.651015867
19/12/2022,664757157,0.660945142
20/12/2022,670201303,0.81896764
21/12/2022,676538045,0.945498311
22/12/2022,683381221,1.011499065
23/12/2022,691234131,1.149125811
24/12/2022,697961892,0.973296991
25/12/2022,704628551,0.955160887
26/12/2022,709571411,0.70148449
27/12/2022,714438259,0.685885582
28/12/2022,719250737,0.673603064
29/12/2022,722981231,0.518663911
30/12/2022,726689830,0.512959236
31/12/2022,729473297,0.383033708
